Service Name,Document Name,Source URL,Content Type,Estimated Pages,Knowledge Category,Description
Amazon S3,S3 API Reference,https://docs.aws.amazon.com/AmazonS3/latest/API/,API Reference Documentation,400,Factual,"Complete REST API reference for all S3 operations, request/response formats, error codes"
Amazon S3,S3 Storage Classes and Lifecycle,https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html?utm_source=chatgpt.com,Reference Guide,60,Factual,"Detailed specifications for Standard, IA, Glacier, Intelligent-Tiering with pricing and retrieval times"
Amazon S3,S3 Architecture and Data Consistency,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html#ConsistencyModel and https://cloudwithalon.com/writing/deep-dive-into-aws-s3-architecture/,Architecture Guide,50,Conceptual,"S3 architecture, strong read-after-write consistency model, distributed system design"
Amazon S3,S3 Replication Architecture (CRR/SRR),https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication.html,Technical Guide,80,Conceptual,"Cross-Region and Same-Region Replication architecture, replication rules, and use cases"
Amazon S3,S3 Security Best Practices,https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html,Best Practices Guide,70,Contextual,"Security recommendations with rationale: bucket policies, ACLs, encryption, access logging, blocking public access"
Amazon S3,S3 Performance Optimization Guidelines,Performance guidelines for Amazon S3 - Amazon Simple Storage Service,Best Practices Guide,35,Contextual,"Request rate optimization, key naming patterns, multipart upload strategies with performance trade-offs"
Amazon S3,S3 Getting Started Guide,https://docs.aws.amazon.com/AmazonS3/latest/userguide/GetStartedWithS3.html,Tutorial Guide,40,Procedural,"Step-by-step guide: creating buckets, uploading objects, setting permissions, accessing data"
Amazon S3,S3 Bucket Configuration and Management,"Creating, configuring, and working with Amazon S3 general purpose buckets - Amazon Simple Storage Service",User Guide,100,Procedural,"How to configure versioning, lifecycle policies, event notifications, access points, and bucket policies"
Amazon EC2,EC2 Instance Types Reference,Amazon EC2 instance types - Amazon Elastic Compute Cloud,Reference Documentation,180,Factual,"Complete specifications: vCPUs, memory, storage, network performance for all instance families"
Amazon EC2,EC2 API Reference,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/,API Reference Documentation,350,Factual,"Full API documentation for instance management, volumes, snapshots, networking operations"
Amazon EC2,EC2 Networking Architecture,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-networking.html,Architecture Guide,120,Conceptual,"VPC integration, ENIs, security groups, placement groups, enhanced networking architecture"
Amazon EC2,EC2 Auto Scaling Concepts,https://docs.aws.amazon.com/autoscaling/ec2/userguide/what-is-amazon-ec2-auto-scaling.html,Conceptual Guide,80,Conceptual,"Auto scaling architecture, scaling policies, health checks, lifecycle hooks concepts"
Amazon EC2,EC2 Best Practices for Performance and Cost,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-best-practices.html,Best Practices Guide,60,Contextual,"Instance selection rationale, right-sizing, spot instances, Reserved Instances strategies"
Amazon EC2,EC2 Security Best Practices,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-security.html,Security Guide,70,Contextual,"Security group design, IAM roles, key management, network isolation with architectural context"
Amazon EC2,EC2 Instance Launch and Configuration,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/LaunchingAndUsingInstances.html,User Guide,150,Procedural,"Step-by-step: launching instances, configuring storage, networking, monitoring, and connecting"
Amazon EC2,EC2 AMI Creation and Management,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html,Technical Guide,90,Procedural,"Creating custom AMIs, copying across regions, sharing, deregistering with detailed workflows"
Amazon EC2,EC2 EBS Volume Management,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-volumes.html,Configuration Guide,100,Procedural,"Creating, attaching, detaching, snapshotting, and resizing EBS volumes"
AWS Lambda,Lambda API Reference,https://docs.aws.amazon.com/lambda/latest/api/,API Reference Documentation,180,Factual,"Complete API for function creation, invocation, configuration, and event source mappings"
AWS Lambda,Lambda Runtime Specifications,https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html,Reference Documentation,90,Factual,"Supported runtimes (Node.js, Python, Java, Go, .NET), versions, deprecation schedules, custom runtimes"
AWS Lambda,Lambda Execution Model and Architecture,https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtime-environment.html,Architecture Guide,70,Conceptual,"Execution environment lifecycle, cold starts, warm starts, concurrency architecture"
AWS Lambda,Lambda Event-Driven Architecture Patterns,https://docs.aws.amazon.com/lambda/latest/dg/lambda-services.html,Architecture Guide,100,Conceptual,"Integration patterns with S3, DynamoDB, SQS, API Gateway, EventBridge for event-driven systems"
AWS Lambda,Lambda Performance Optimization Best Practices,https://docs.aws.amazon.com/lambda/latest/dg/best-practices.html,Best Practices Guide,50,Contextual,"Memory allocation strategies, code optimization, connection pooling with performance trade-offs"
AWS Lambda,Lambda Security and Permissions Best Practices,https://docs.aws.amazon.com/lambda/latest/dg/lambda-security.html,Security Guide,80,Contextual,"IAM roles design, resource policies, VPC configuration, secrets management rationale"
AWS Lambda,Lambda Function Development and Deployment,https://docs.aws.amazon.com/lambda/latest/dg/getting-started.html,Developer Guide,120,Procedural,"Creating functions, writing code, testing locally, deploying with SAM/CloudFormation"
AWS Lambda,Lambda Event Source Mapping Configuration,https://docs.aws.amazon.com/lambda/latest/dg/invocation-eventsourcemapping.html,Configuration Guide,70,Procedural,"Configuring event source mappings for streams (Kinesis, DynamoDB) and queues (SQS)"
AWS Lambda,Lambda Layers and Dependencies Management,https://docs.aws.amazon.com/lambda/latest/dg/configuration-layers.html,Technical Guide,45,Procedural,"Creating, sharing, and managing Lambda layers for code and dependency reuse"
AWS IAM,IAM Policy Reference and Syntax,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies.html,Reference Documentation,250,Factual,"Complete policy syntax: elements, variables, conditions, operators, evaluation logic"
AWS IAM,IAM API Reference,https://docs.aws.amazon.com/IAM/latest/APIReference/,API Reference Documentation,200,Factual,"Full API documentation for users, groups, roles, policies, and credentials management"
AWS IAM,IAM Access Control Architecture,https://docs.aws.amazon.com/IAM/latest/UserGuide/intro-structure.html?utm_source=chatgpt.com,Architecture Guide,90,Conceptual,"Principal-based vs resource-based policies, permission boundaries, session policies architecture"
AWS IAM,IAM Policy Evaluation Logic,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html,Conceptual Guide,80,Conceptual,"How AWS evaluates policies: explicit deny, implicit deny, allow logic with decision flowcharts"
AWS IAM,IAM Security Best Practices,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,Best Practices Guide,60,Contextual,"Least privilege principle, MFA enforcement, role assumption, credential rotation with security rationale"
AWS IAM,IAM Access Analyzer Findings and Remediation,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-findings.html,Security Guide,50,Contextual,"Identifying external access, unused permissions, security implications and remediation strategies"
AWS IAM,IAM User and Group Management,https://docs.aws.amazon.com/IAM/latest/UserGuide/id.html,User Guide,100,Procedural,"Creating users, groups, managing credentials, MFA setup, access keys with step-by-step instructions"
AWS IAM,IAM Role Creation and Assumption,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,Configuration Guide,120,Procedural,"Creating service roles, cross-account roles, trust policies, assuming roles programmatically"
AWS IAM,IAM Policy Testing with Policy Simulator,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_testing-policies.html,Tutorial Guide,40,Procedural,Using policy simulator to test and troubleshoot policies before deployment
Amazon DynamoDB,DynamoDB API Reference,https://docs.aws.amazon.com/amazondynamodb/latest/APIReference/,API Reference Documentation,250,Factual,"Complete API for table operations, item CRUD, queries, scans, transactions, streams"
Amazon DynamoDB,DynamoDB Data Types and Attribute Definitions,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.NamingRulesDataTypes.html,Reference Documentation,40,Factual,"Scalar types, document types, set types, attribute naming rules, and size limits"
Amazon DynamoDB,DynamoDB Architecture and Partitioning,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.Partitions.html,Architecture Guide,70,Conceptual,"Partition key design, partition management, adaptive capacity, how DynamoDB scales"
Amazon DynamoDB,DynamoDB Consistency Models and Transactions,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.ReadConsistency.html,Conceptual Guide,60,Conceptual,"Eventually consistent vs strongly consistent reads, ACID transactions architecture"
Amazon DynamoDB,DynamoDB Data Modeling Best Practices,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/best-practices.html,Best Practices Guide,100,Contextual,"Single-table design, access pattern analysis, partition key selection with design rationale"
Amazon DynamoDB,DynamoDB Table Creation and Management,Working with tables and data in DynamoDB - Amazon DynamoDB,User Guide,90,Procedural,"Creating tables, defining keys, configuring capacity modes, indexes with step-by-step workflows"
Amazon DynamoDB,DynamoDB Query and Scan Operations,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Query.html,Developer Guide,100,Procedural,"Writing queries with key conditions, filter expressions, projection expressions, pagination"
Amazon DynamoDB,DynamoDB Global Tables Setup,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html,Configuration Guide,70,Procedural,"Configuring multi-region replication, conflict resolution, monitoring global tables"
Amazon Overview,AWS Introduction,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/introduction.html,User/Developer Guide,,Factual,"Introduces AWS as a cloud platform offering 200+ on-demand services like compute, storage, databases, and networking with pay-as-you-go pricing."
Amazon Overview,Cloud Computing,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/what-is-cloud-computing.html,Reference Documentation,,Factual,"Defines cloud computing as the on-demand delivery of IT resources over the internet with scalability, flexibility, and cost efficiency."
Amazon Overview,AWS services by category,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/amazon-web-services-cloud-platform.html,Reference Documentation,,Factual,"Lists AWS services grouped into categories such as compute, storage, networking, security, and analytics, and explains how to access them via console, CLI, or SDKs."
Amazon Overview,AWS Infrastructure ,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html,Architecture Guide,,Conceptual,"Explains AWS global infrastructure including regions, availability zones, and data centers designed for high availability, low latency, and resilience."
Amazon Overview,AWS Architecture ,https://docs.aws.amazon.com/general/latest/gr/aws-architecture.html,Architecture Guide,,Conceptual,"Describes architectural principles and best practices for designing scalable, secure, and reliable systems on AWS (e.g., distributed systems, fault tolerance)."
Amazon Overview,AWS documentation list,https://aws.amazon.com/documentation/,Reference Documentation,,Factual,"Provides a centralized index of all AWS documentation resources including whitepapers, developer guides, and service-specific docs."
Amazon Glossary,AWS Glossary, https://docs.aws.amazon.com//glossary/latest/reference/glos-chap.html,Reference Documentation,,Factual,"Contains definitions of AWS-specific terms, services, and concepts to standardize understanding across cloud documentation."