Service Name,Document Name,Source URL,Content Type,Estimated Pages,Knowledge Category,Description,File Name
Amazon S3,S3 API Reference,https://docs.aws.amazon.com/AmazonS3/latest/API/,API Reference Documentation,400,Factual,"Complete REST API reference for all S3 operations, request/response formats, error codes",s3-api
Amazon S3,S3 Storage Classes and Lifecycle,https://docs.aws.amazon.com/AmazonS3/latest/userguide/storage-class-intro.html?utm_source=chatgpt.com,Reference Guide,60,Factual,"Detailed specifications for Standard, IA, Glacier, Intelligent-Tiering with pricing and retrieval times",s3-userguide
Amazon S3,S3 Architecture and Data Consistency,https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html#ConsistencyModel and https://cloudwithalon.com/writing/deep-dive-into-aws-s3-architecture/,Architecture Guide,50,Conceptual,"S3 architecture, strong read-after-write consistency model, distributed system design",s3-userguide
Amazon S3,S3 Replication Architecture (CRR/SRR),https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication.html,Technical Guide,80,Conceptual,"Cross-Region and Same-Region Replication architecture, replication rules, and use cases",s3-userguide
Amazon S3,S3 Security Best Practices,https://docs.aws.amazon.com/AmazonS3/latest/userguide/security-best-practices.html,Best Practices Guide,70,Contextual,"Security recommendations with rationale: bucket policies, ACLs, encryption, access logging, blocking public access",s3-userguide
Amazon S3,S3 Performance Optimization Guidelines,Performance guidelines for Amazon S3 - Amazon Simple Storage Service,Best Practices Guide,35,Contextual,"Request rate optimization, key naming patterns, multipart upload strategies with performance trade-offs",s3-userguide
Amazon S3,S3 Getting Started Guide,https://docs.aws.amazon.com/AmazonS3/latest/userguide/GetStartedWithS3.html,Tutorial Guide,40,Procedural,"Step-by-step guide: creating buckets, uploading objects, setting permissions, accessing data",s3-userguide
Amazon S3,S3 Bucket Configuration and Management,"Creating, configuring, and working with Amazon S3 general purpose buckets - Amazon Simple Storage Service",User Guide,100,Procedural,"How to configure versioning, lifecycle policies, event notifications, access points, and bucket policies",s3-userguide
Amazon EC2,EC2 Instance Types Reference,Amazon EC2 instance types - Amazon Elastic Compute Cloud,Reference Documentation,180,Factual,"Complete specifications: vCPUs, memory, storage, network performance for all instance families",ec2-types
Amazon EC2,EC2 API Reference,https://docs.aws.amazon.com/AWSEC2/latest/APIReference/,API Reference Documentation,350,Factual,"Full API documentation for instance management, volumes, snapshots, networking operations",ec2-api
Amazon EC2,EC2 Networking Architecture,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-networking.html,Architecture Guide,120,Conceptual,"VPC integration, ENIs, security groups, placement groups, enhanced networking architecture",ec2-ug
Amazon EC2,EC2 Auto Scaling Concepts,https://docs.aws.amazon.com/autoscaling/ec2/userguide/what-is-amazon-ec2-auto-scaling.html,Conceptual Guide,80,Conceptual,"Auto scaling architecture, scaling policies, health checks, lifecycle hooks concepts",ec2-ug
Amazon EC2,EC2 Best Practices for Performance and Cost,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-best-practices.html,Best Practices Guide,60,Contextual,"Instance selection rationale, right-sizing, spot instances, Reserved Instances strategies",ec2-ug
Amazon EC2,EC2 Security Best Practices,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ec2-security.html,Security Guide,70,Contextual,"Security group design, IAM roles, key management, network isolation with architectural context",ec2-ug
Amazon EC2,EC2 Instance Launch and Configuration,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/LaunchingAndUsingInstances.html,User Guide,150,Procedural,"Step-by-step: launching instances, configuring storage, networking, monitoring, and connecting",ec2-ug
Amazon EC2,EC2 AMI Creation and Management,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html,Technical Guide,90,Procedural,"Creating custom AMIs, copying across regions, sharing, deregistering with detailed workflows",ec2-ug
Amazon EC2,EC2 EBS Volume Management,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-volumes.html,Configuration Guide,100,Procedural,"Creating, attaching, detaching, snapshotting, and resizing EBS volumes",ec2-ug
AWS Lambda,Lambda API Reference,https://docs.aws.amazon.com/lambda/latest/api/,API Reference Documentation,180,Factual,"Complete API for function creation, invocation, configuration, and event source mappings",lambda-api
AWS Lambda,Lambda Runtime Specifications,https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtimes.html,Reference Documentation,90,Factual,"Supported runtimes (Node.js, Python, Java, Go, .NET), versions, deprecation schedules, custom runtimes",lambda-dg
AWS Lambda,Lambda Execution Model and Architecture,https://docs.aws.amazon.com/lambda/latest/dg/lambda-runtime-environment.html,Architecture Guide,70,Conceptual,"Execution environment lifecycle, cold starts, warm starts, concurrency architecture",lambda-dg
AWS Lambda,Lambda Event-Driven Architecture Patterns,https://docs.aws.amazon.com/lambda/latest/dg/lambda-services.html,Architecture Guide,100,Conceptual,"Integration patterns with S3, DynamoDB, SQS, API Gateway, EventBridge for event-driven systems",lambda-dg
AWS Lambda,Lambda Performance Optimization Best Practices,https://docs.aws.amazon.com/lambda/latest/dg/best-practices.html,Best Practices Guide,50,Contextual,"Memory allocation strategies, code optimization, connection pooling with performance trade-offs",lambda-dg
AWS Lambda,Lambda Security and Permissions Best Practices,https://docs.aws.amazon.com/lambda/latest/dg/lambda-security.html,Security Guide,80,Contextual,"IAM roles design, resource policies, VPC configuration, secrets management rationale",lambda-dg
AWS Lambda,Lambda Function Development and Deployment,https://docs.aws.amazon.com/lambda/latest/dg/getting-started.html,Developer Guide,120,Procedural,"Creating functions, writing code, testing locally, deploying with SAM/CloudFormation",lambda-dg
AWS Lambda,Lambda Event Source Mapping Configuration,https://docs.aws.amazon.com/lambda/latest/dg/invocation-eventsourcemapping.html,Configuration Guide,70,Procedural,"Configuring event source mappings for streams (Kinesis, DynamoDB) and queues (SQS)",lambda-dg
AWS Lambda,Lambda Layers and Dependencies Management,https://docs.aws.amazon.com/lambda/latest/dg/configuration-layers.html,Technical Guide,45,Procedural,"Creating, sharing, and managing Lambda layers for code and dependency reuse",lambda-dg
AWS IAM,IAM Policy Reference and Syntax,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies.html,Reference Documentation,250,Factual,"Complete policy syntax: elements, variables, conditions, operators, evaluation logic",iam-ug
AWS IAM,IAM API Reference,https://docs.aws.amazon.com/IAM/latest/APIReference/,API Reference Documentation,200,Factual,"Full API documentation for users, groups, roles, policies, and credentials management",iam-api
AWS IAM,IAM Access Control Architecture,https://docs.aws.amazon.com/IAM/latest/UserGuide/intro-structure.html?utm_source=chatgpt.com,Architecture Guide,90,Conceptual,"Principal-based vs resource-based policies, permission boundaries, session policies architecture",iam-ug
AWS IAM,IAM Policy Evaluation Logic,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html,Conceptual Guide,80,Conceptual,"How AWS evaluates policies: explicit deny, implicit deny, allow logic with decision flowcharts",iam-ug
AWS IAM,IAM Security Best Practices,https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,Best Practices Guide,60,Contextual,"Least privilege principle, MFA enforcement, role assumption, credential rotation with security rationale",iam-ug
AWS IAM,IAM Access Analyzer Findings and Remediation,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-findings.html,Security Guide,50,Contextual,"Identifying external access, unused permissions, security implications and remediation strategies",access-analyzer-api
AWS IAM,IAM User and Group Management,https://docs.aws.amazon.com/IAM/latest/UserGuide/id.html,User Guide,100,Procedural,"Creating users, groups, managing credentials, MFA setup, access keys with step-by-step instructions",iam-ug
AWS IAM,IAM Role Creation and Assumption,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,Configuration Guide,120,Procedural,"Creating service roles, cross-account roles, trust policies, assuming roles programmatically",iam-ug
AWS IAM,IAM Policy Testing with Policy Simulator,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_testing-policies.html,Tutorial Guide,40,Procedural,Using policy simulator to test and troubleshoot policies before deployment,access-analyzer-api
Amazon DynamoDB,DynamoDB API Reference,https://docs.aws.amazon.com/amazondynamodb/latest/APIReference/,API Reference Documentation,250,Factual,"Complete API for table operations, item CRUD, queries, scans, transactions, streams",dynamodb-api
Amazon DynamoDB,DynamoDB Data Types and Attribute Definitions,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.NamingRulesDataTypes.html,Reference Documentation,40,Factual,"Scalar types, document types, set types, attribute naming rules, and size limits",dynamodb-dg
Amazon DynamoDB,DynamoDB Architecture and Partitioning,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.Partitions.html,Architecture Guide,70,Conceptual,"Partition key design, partition management, adaptive capacity, how DynamoDB scales",dynamodb-dg
Amazon DynamoDB,DynamoDB Consistency Models and Transactions,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/HowItWorks.ReadConsistency.html,Conceptual Guide,60,Conceptual,"Eventually consistent vs strongly consistent reads, ACID transactions architecture",dynamodb-dg
Amazon DynamoDB,DynamoDB Data Modeling Best Practices,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/best-practices.html,Best Practices Guide,100,Contextual,"Single-table design, access pattern analysis, partition key selection with design rationale",dynamodb-dg
Amazon DynamoDB,DynamoDB Table Creation and Management,Working with tables and data in DynamoDB - Amazon DynamoDB,User Guide,90,Procedural,"Creating tables, defining keys, configuring capacity modes, indexes with step-by-step workflows",dynamodb-dg
Amazon DynamoDB,DynamoDB Query and Scan Operations,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/Query.html,Developer Guide,100,Procedural,"Writing queries with key conditions, filter expressions, projection expressions, pagination",dynamodb-dg
Amazon DynamoDB,DynamoDB Global Tables Setup,https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GlobalTables.html,Configuration Guide,70,Procedural,"Configuring multi-region replication, conflict resolution, monitoring global tables",dynamodb-dg
Amazon Overview,AWS Introduction,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/introduction.html,User/Developer Guide,,Factual,"Introduces AWS as a cloud platform offering 200+ on-demand services like compute, storage, databases, and networking with pay-as-you-go pricing.",aws-overview
Amazon Overview,Cloud Computing,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/what-is-cloud-computing.html,Reference Documentation,,Factual,"Defines cloud computing as the on-demand delivery of IT resources over the internet with scalability, flexibility, and cost efficiency.",aws-overview
Amazon Overview,AWS services by category,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/amazon-web-services-cloud-platform.html,Reference Documentation,,Factual,"Lists AWS services grouped into categories such as compute, storage, networking, security, and analytics, and explains how to access them via console, CLI, or SDKs.",aws-overview
Amazon Overview,AWS Infrastructure ,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/global-infrastructure.html,Architecture Guide,,Conceptual,"Explains AWS global infrastructure including regions, availability zones, and data centers designed for high availability, low latency, and resilience.",aws-overview
Amazon Overview,AWS Architecture ,https://docs.aws.amazon.com/general/latest/gr/aws-architecture.html,Architecture Guide,,Conceptual,"Describes architectural principles and best practices for designing scalable, secure, and reliable systems on AWS (e.g., distributed systems, fault tolerance).",wellarchitected-framework
Amazon Overview,AWS documentation list,https://aws.amazon.com/documentation/,Reference Documentation,,Factual,"Provides a centralized index of all AWS documentation resources including whitepapers, developer guides, and service-specific docs.",All pdfs in root
Amazon Glossary,AWS Glossary, https://docs.aws.amazon.com//glossary/latest/reference/glos-chap.html,Reference Documentation,,Factual,"Contains definitions of AWS-specific terms, services, and concepts to standardize understanding across cloud documentation.",glossary-ref
AWS CloudFormation,CloudFormation API Reference,https://docs.aws.amazon.com/AWSCloudFormation/latest/APIReference/Welcome.html,API Reference,500,Factual,"Complete reference of all CloudFormation API actions, including parameters, responses, errors, and stack operation workflows.",cfn-api.pdf
AWS CloudFormation,AWS CloudFormation User Guide,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/Welcome.html,User Guide,40,Conceptual,"Introduces CloudFormation concepts such as stacks, templates, resources, and infrastructure as code workflows.",cfn-ug.pdf
AWS CloudFormation,Working with Templates and Stacks,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/template-guide.html,User Guide,60,Procedural,"Covers how to create templates, define resources, parameters, outputs, and manage stack lifecycle step-by-step.",cfn-ug.pdf
AWS CloudFormation,CloudFormation Best Practices,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/best-practices.html,Best Practices Guide,250,Contextual,"Provides recommendations for designing scalable, secure, and maintainable CloudFormation architectures.",cfn-ug.pdf
AWS CloudFormation,CloudFormation Hooks User Guide,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/registry-hooks.html,Hooks Guide,300,Conceptual,"Explains CloudFormation Hooks, their purpose in enforcing compliance, and different implementation approaches.",cloudformation-hooks.pdf
AWS CloudFormation,Creating and Managing Hooks,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/registry-hooks-create.html,Configuration Guide,25,Procedural,"Step-by-step instructions to create, configure, activate, and manage Hooks using CLI and templates.",cloudformation-hooks.pdf
AWS CloudFormation,AWS CloudFormation Guard User Guide,https://docs.aws.amazon.com/cfn-guard/latest/ug/what-is-guard.html,Guard Guide,70,Conceptual,Introduces CloudFormation Guard as a policy-as-code tool and explains its architecture and use cases.,cfn-guard.pdf
AWS CloudFormation,Writing Guard Rules and Validation,https://docs.aws.amazon.com/cfn-guard/latest/ug/writing-rules.html,Developer Guide,130,Procedural,"Covers how to write Guard rules, validate templates, and enforce compliance using CLI commands.",cfn-guard.pdf
AWS CloudFormation,CloudFormation CLI User Guide,https://docs.aws.amazon.com/cloudformation-cli/latest/userguide/what-is-cloudformation-cli.html,CLI Guide,20,Conceptual,"Explains CloudFormation CLI, its purpose in extension development, and how it integrates with AWS services.",cloudformation-cli.pdf
AWS CloudFormation,Developing Extensions using CloudFormation CLI,https://docs.aws.amazon.com/cloudformation-cli/latest/userguide/resource-type.html,Developer Guide,70,Procedural,"Step-by-step guide to create, test, and deploy custom resource types and extensions using CloudFormation CLI.",cloudformation-cli.pdf
Amazon CloudWatch Logs,CloudWatch Logs API Reference,https://docs.aws.amazon.com/AmazonCloudWatchLogs/latest/APIReference/Welcome.html,API Reference,801,Factual,"All API actions, request/response formats, errors for logs.",cwl-api.pdf
Amazon CloudWatch Logs,CloudWatch Logs Concepts,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/WhatIsCloudWatchLogs.html,User Guide,80,Conceptual,"Core concepts like log groups, streams, ingestion.",cwl-ug.pdf
Amazon CloudWatch Logs,Log Ingestion & Agents,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/AgentReference.html,User Guide,200,Procedural,"Installing agents, sending logs, ingestion pipelines.",cwl-ug.pdf
Amazon CloudWatch Logs,Logs Best Practices,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/BestPractices.html,Best Practices,40,Contextual,"Security, retention, and scaling strategies.",cwl-ug.pdf
Amazon EventBridge,EventBridge API Reference,https://docs.aws.amazon.com/eventbridge/latest/APIReference/Welcome.html,API Reference,429,Factual,"Event APIs, rules, targets, integrations.",eventbridge-api.pdf
Amazon EventBridge,EventBridge Concepts,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-what-is.html,User Guide,60,Conceptual,"Event buses, rules, event-driven architecture.",user-guide.pdf
Amazon EventBridge,Creating Rules & Targets,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-create-rule.html,User Guide,200,Procedural,"Create rules, targets, filters.",user-guide.pdf
Amazon EventBridge,EventBridge Best Practices,https://docs.aws.amazon.com/eventbridge/latest/userguide/eb-best-practices.html,Best Practices,50,Contextual,"Scaling, reliability, event design.",user-guide.pdf
Amazon CloudWatch,CloudWatch API Reference,https://docs.aws.amazon.com/AmazonCloudWatch/latest/APIReference/Welcome.html,API Reference,372,Factual,"Metrics, alarms, dashboards APIs.",acw-api.pdf
Amazon CloudWatch,CloudWatch Core Concepts,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/WhatIsCloudWatch.html,User Guide,100,Conceptual,"Metrics, alarms, dashboards, observability.",acw-ug.pdf
Amazon CloudWatch,Metrics & Monitoring,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/working_with_metrics.html,User Guide,500,Procedural,"Creating metrics, queries, dashboards.",acw-ug.pdf
Amazon CloudWatch,Alarms & Alerts,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/AlarmThatSendsEmail.html,User Guide,400,Procedural,Creating and managing alarms.,acw-ug.pdf
Amazon CloudWatch,CloudWatch Best Practices,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/best-practices.html,Best Practices,100,Contextual,"Optimization, cost, monitoring strategies.",acw-ug.pdf
Amazon CloudWatch,CloudWatch CLI Reference,https://docs.aws.amazon.com/cli/latest/reference/cloudwatch/index.html,CLI Guide,114,Procedural,Command line usage for metrics and alarms.,acw-cli.pdf
Amazon CloudWatch,Observability Admin API,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/CloudWatch-Observability.html,API Reference,265,Factual,"Telemetry pipelines, observability rules.",observabilityadmin.pdf
Amazon CloudWatch,CloudWatch Synthetics,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/CloudWatch_Synthetics_Canaries.html,API Reference,178,Factual,Synthetic monitoring and canaries.,Synthetics-APIReference.pdf
Amazon CloudWatch,CloudWatch RUM,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/CloudWatch-RUM.html,API Reference,147,Factual,Real user monitoring and frontend performance.,cloudwatchrum-api.pdf
Amazon CloudWatch,Application Insights API,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/appinsights.html,API Reference,178,Factual,Application monitoring APIs and setup.,app-insights-api.pdf
Amazon CloudWatch,Application Signals,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/application-signals.html,API Reference,241,Factual,"SLOs, observability signals, monitoring.",applicationsignals-api.pdf
Amazon CloudWatch,CloudWatch Investigations API,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/investigations.html,API Reference,63,Factual,Investigation groups and debugging workflows.,AIOps.pdf
Amazon CloudWatch,Internet Monitor API,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/internet-monitor.html,API Reference,119,Factual,Network health and internet monitoring.,internet-monitor-api.pdf
Amazon CloudWatch,Network Flow Monitor API,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/network-flow-monitor.html,API Reference,143,Factual,Traffic monitoring and flow analysis.,network-flow-monitor-api.pdf
Amazon RDS,RDS API Reference,https://docs.aws.amazon.com/AmazonRDS/latest/APIReference/Welcome.html,API Reference,1400,Procedural,"All RDS API operations, parameters, responses, and errors.",rds-api.pdf
Amazon RDS,RDS User Guide - Concepts,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html,User Guide,200,Conceptual,"Core concepts like DB instances, storage, regions, architecture.",rds-ug.pdf
Amazon RDS,RDS User Guide - Setup & Getting Started,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_GettingStarted.html,User Guide,300,Procedural,Creating DB instances and connecting step-by-step.,rds-ug.pdf
Amazon RDS,RDS User Guide - Operations,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithRDS.html,User Guide,2500,Procedural,"Managing DB instances, backups, scaling, monitoring.",rds-ug.pdf
Amazon RDS,RDS Best Practices,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_BestPractices.html,Best Practices,300,Contextual,"Performance tuning, monitoring, and optimization strategies.",rds-ug.pdf
Amazon RDS,RDS Getting Started Guide,https://docs.aws.amazon.com/AmazonRDS/latest/gettingstartedguide/Welcome.html,Getting Started,60,Procedural,Quick setup guide for beginners to launch and connect DB.,rds-gsg.pdf
Amazon RDS,RDS for Oracle Release Notes,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Oracle.ReleaseNotes.html,Release Notes,1753,Factual,"Version updates, patches, and engine changes.",rds-oracle-relnotes.pdf
Amazon RDS,RDS for PostgreSQL Release Notes,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_PostgreSQL.ReleaseNotes.html,Release Notes,238,Factual,Version updates and release calendar.,rds-postgresql-relnotes.pdf
Amazon Aurora,Aurora User Guide - Concepts,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/CHAP_AuroraOverview.html,User Guide,300,Conceptual,"Aurora architecture, clusters, replication, features.",aurora-ug.pdf
Amazon Aurora,Aurora User Guide - Operations,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/CHAP_AuroraManaging.html,User Guide,3000,Procedural,"Creating clusters, managing endpoints, scaling, monitoring.",aurora-ug.pdf
Amazon Aurora,Aurora MySQL Release Notes,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraMySQL.Updates.html,Release Notes,502,Factual,Version updates and feature changes for Aurora MySQL.,aurora-mysql-relnotes.pdf
Amazon Aurora,Aurora PostgreSQL Release Notes,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/AuroraPostgreSQL.Updates.html,Release Notes,785,Factual,Version updates and feature changes for Aurora PostgreSQL.,aurora-postgresql-relnotes.pdf
Amazon Aurora DSQL,Aurora DSQL User Guide,https://docs.aws.amazon.com/aurora-dsql/latest/userguide/what-is.html,User Guide,459,Conceptual,"Aurora DSQL architecture, features, and usage.",aurora-dsql-ug.pdf
Amazon RDS,Performance Insights API,https://docs.aws.amazon.com/performance-insights/latest/APIReference/Welcome.html,API Reference,137,Procedural,API for database performance monitoring and analysis.,performance-insights-api.pdf
Amazon RDS,RDS Data API Reference,https://docs.aws.amazon.com/rdsdataservice/latest/APIReference/Welcome.html,API Reference,66,Procedural,"Execute SQL via HTTP APIs, transactions, and queries.",rdsdataservice-api.pdf
Amazon VPC,Amazon VPC Overview,https://docs.aws.amazon.com/vpc/latest/userguide/what-is-amazon-vpc.html,User Guide,80,Conceptual,Core VPC architecture and networking fundamentals.,aws-overview.pdf
Amazon VPC,VPC Subnets & Routing,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Subnets.html,User Guide,120,Conceptual,"Subnets, route tables, and segmentation.",aws-overview.pdf
Amazon VPC,VPC Setup & Deployment,https://docs.aws.amazon.com/vpc/latest/userguide/working-with-vpcs.html,User Guide,200,Procedural,Creating and configuring VPCs.,aws-overview.pdf
Amazon VPC,VPC Design Best Practices,https://docs.aws.amazon.com/vpc/latest/userguide/vpc-best-practices.html,User Guide,60,Contextual,Best practices for scalable and secure VPC design.,aws-overview.pdf
Amazon VPC,VPC Monitoring & Flow Logs,https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html,User Guide,80,Contextual,Traffic monitoring and logging strategies.,aws-overview.pdf
Amazon VPC,IP Address Manager Overview,https://docs.aws.amazon.com/vpc/latest/ipam/what-it-is-ipam.html,User Guide,80,Conceptual,IPAM architecture and planning.,vpc-ipam.pdf
Amazon VPC,IP Address Manager Operations,https://docs.aws.amazon.com/vpc/latest/ipam/getting-started-ipam.html,User Guide,250,Procedural,Managing IP pools and allocations.,vpc-ipam.pdf
Amazon VPC,VPC Peering,https://docs.aws.amazon.com/vpc/latest/peering/what-is-vpc-peering.html,User Guide,69,Conceptual,Connecting VPCs securely.,vpc-pg.pdf
Amazon VPC,Transit Gateway Setup,https://docs.aws.amazon.com/vpc/latest/tgw/tgw-getting-started.html,User Guide,152,Procedural,Configuring transit gateway.,vpc-tgw.pdf
Amazon VPC,Traffic Mirroring,https://docs.aws.amazon.com/vpc/latest/mirroring/what-is-traffic-mirroring.html,User Guide,62,Contextual,Network traffic inspection and monitoring.,vpc-tm.pdf
Amazon VPC,Network Access Analyzer,https://docs.aws.amazon.com/vpc/latest/network-access-analyzer/what-is-network-access-analyzer.html,User Guide,51,Procedural,Analyze network access paths.,network-access-analyzer.pdf
Amazon VPC Lattice,VPC Lattice Concepts,https://docs.aws.amazon.com/vpc-lattice/latest/ug/what-is-vpc-lattice.html,User Guide,120,Conceptual,Service networking fundamentals.,vpc-lattice.pdf
Amazon VPC Lattice,VPC Lattice Configuration,https://docs.aws.amazon.com/vpc-lattice/latest/ug/getting-started.html,User Guide,118,Procedural,Setting up services and routing.,vpc-lattice.pdf
Amazon VPC Lattice,VPC Lattice API Types,https://docs.aws.amazon.com/vpc-lattice/latest/APIReference/API_Types.html,API Reference,120,Factual,Data structures and schemas for API.,vpc-lattice-api.pdf
AWS Network Manager,Cloud WAN Concepts,https://docs.aws.amazon.com/network-manager/latest/cloudwan/what-is-cloudwan.html,User Guide,120,Conceptual,Global WAN architecture.,cloudwan.pdf
AWS Network Manager,Cloud WAN Setup,https://docs.aws.amazon.com/network-manager/latest/cloudwan/getting-started.html,User Guide,135,Procedural,Creating WAN networks.,cloudwan.pdf
AWS Network Manager,Global Network API,https://docs.aws.amazon.com/networkmanager/latest/APIReference/Welcome.html,API Reference,677,Factual,API structure and operations.,tgwnm.pdf
AWS Network Manager,Infrastructure Performance,https://docs.aws.amazon.com/network-manager/latest/tgwnm/what-is-performance.html,User Guide,26,Contextual,Monitoring network performance.,infrastructure-performance.pdf